latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.964848,-75.1676,16,-14400,America/New_York,GMT-4
,,,,,
time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,weather_code (wmo code),precipitation_sum (inch)
7/2/2019,92.2,79.1,67,61,0.098
7/3/2019,86.6,79.2,71.5,51,0.047
7/4/2019,87,79.4,72.5,63,0.217
7/5/2019,85.7,78.4,73.1,63,0.15
7/6/2019,84.5,79.1,74.4,63,0.358
7/7/2019,84.5,78,73.5,63,0.406
7/8/2019,75.2,72.1,70,63,0.433
7/9/2019,87.3,76.8,65.4,3,0
7/10/2019,88.5,78.9,69.6,3,0
7/11/2019,86.3,77.1,69.7,63,0.563
7/12/2019,87.2,78,71,53,0.024
7/13/2019,87.4,77.3,67.1,3,0
7/14/2019,89.4,80.1,70.2,51,0.016
7/15/2019,86.9,76.6,66.5,3,0
7/16/2019,91.8,79.6,65.9,53,0.028
7/17/2019,94.6,83.4,75.5,63,0.354
7/18/2019,86.8,79.6,75.9,63,0.24
7/19/2019,93.4,82.9,74,3,0
7/20/2019,94.2,86.1,78,53,0.035
7/21/2019,96.8,87.2,77.6,3,0
7/22/2019,90.1,81.9,76,63,0.417
7/23/2019,76.6,72.2,68.3,61,0.441
7/24/2019,83.4,74.6,64.6,51,0.016
7/25/2019,84.9,74.6,64.4,1,0
7/26/2019,86,75.9,63.9,1,0
7/27/2019,86.1,77.2,67.7,1,0
7/28/2019,91.5,80.4,71.6,3,0
7/29/2019,90.4,80.6,70.3,3,0
7/30/2019,91.8,83,74.3,1,0
7/31/2019,85.8,78.3,72.5,63,0.531
8/1/2019,82.1,77.1,71.5,63,0.28
8/2/2019,84.5,76.4,68.1,55,0.059
8/3/2019,85.9,77,70.2,53,0.083
8/4/2019,87.5,79.2,70.6,51,0.02
8/5/2019,86.2,77.7,70.7,51,0.008
8/6/2019,83.5,76.9,70.6,63,0.165
8/7/2019,84.7,76.1,69.1,63,0.547
8/8/2019,86.2,76.5,67.5,53,0.024
8/9/2019,86.4,77.2,67.9,3,0
8/10/2019,83.8,74.6,65.1,3,0
8/11/2019,82.1,72.4,62.1,3,0
8/12/2019,89.2,75,60.6,3,0
8/13/2019,78.7,75.9,73.8,61,0.264
8/14/2019,80.2,74.8,71.2,55,0.24
8/15/2019,83.6,75.9,70.5,51,0.035
8/16/2019,83.8,75.7,68.7,51,0.016
8/17/2019,88.9,79.5,71.8,3,0
8/18/2019,88.7,79.8,72.9,63,0.248
8/19/2019,90.1,81,73.8,55,0.047
8/20/2019,90.8,80.9,71.2,3,0
8/21/2019,89.3,80.8,75.1,51,0.047
8/22/2019,91.8,82.1,72.8,61,0.091
8/23/2019,75.4,69.7,66,63,0.567
8/24/2019,76.8,68.5,60.1,3,0
8/25/2019,76.4,68.3,61.6,51,0.004
8/26/2019,77.3,66.7,59.6,3,0
8/27/2019,77.4,68.3,61.2,3,0
8/28/2019,78.4,71.2,65.3,61,0.094
8/29/2019,82.9,73.1,65.6,2,0
8/30/2019,87.5,74.8,62.1,3,0
8/31/2019,85.5,75.7,66.5,3,0
9/1/2019,84.3,73,64.9,3,0
9/2/2019,81,73,67,61,0.331
9/3/2019,83.7,74.2,65.4,51,0.012
9/4/2019,89.4,77.5,67.3,51,0.012
9/5/2019,78.6,72,64.8,3,0
9/6/2019,70,66.4,61.2,53,0.079
9/7/2019,79.4,67.1,56.7,3,0
9/8/2019,82,70.4,59.3,3,0
9/9/2019,80.5,71.3,63.6,51,0.004
9/10/2019,83.6,72.5,62.7,3,0
9/11/2019,90.1,77.6,67.1,3,0
9/12/2019,86.7,76.9,67,61,0.169
9/13/2019,70.4,66,62.2,51,0.012
9/14/2019,79.5,70.4,62.8,3,0
9/15/2019,84.3,73.8,66.7,53,0.098
9/16/2019,83.9,73.4,62.1,3,0
9/17/2019,78.3,70.1,63.4,51,0.008
9/18/2019,71.9,63.7,56.8,51,0.004
9/19/2019,70.2,60.8,52.5,0,0
9/20/2019,78.9,64,50.5,3,0
9/21/2019,84.2,69.3,55.4,2,0
9/22/2019,87.1,74.2,62,3,0
9/23/2019,90,79.3,71.2,3,0
9/24/2019,79.6,71.6,63.3,63,0.24
9/25/2019,80.9,68.3,55.5,3,0
9/26/2019,85.1,70.4,61.4,3,0
9/27/2019,78.3,67.3,55,3,0
9/28/2019,84.8,72.9,62,63,0.173
9/29/2019,84.7,74.6,67.6,51,0.008
9/30/2019,74.2,67.9,63.4,51,0.012
10/1/2019,84.2,72.4,63,3,0
10/2/2019,93.9,81.1,70.2,3,0
10/3/2019,75.7,65.3,60.9,53,0.102
10/4/2019,70.2,62.9,51.5,61,0.181
10/5/2019,63,53.5,45.6,3,0
10/6/2019,74.4,65.8,54.2,3,0
10/7/2019,79.5,71.9,63.6,53,0.047
10/8/2019,66.5,61.1,57.5,55,0.075
10/9/2019,59.2,56.8,53.4,53,0.087
10/10/2019,73.1,60.7,51.7,53,0.059
10/11/2019,68.3,60.6,52.9,3,0
10/12/2019,72.7,60.4,50.5,3,0
10/13/2019,68.1,58.9,49.2,53,0.039
10/14/2019,74,62.4,53.1,3,0
10/15/2019,66.5,57.2,47.8,2,0
10/16/2019,67.7,58.2,51.2,65,1.39
10/17/2019,60,53.6,49.7,3,0
10/18/2019,60.6,52.3,44.6,3,0
10/19/2019,62.1,50,39.5,3,0
10/20/2019,56,51.5,45.3,63,0.791
10/21/2019,67.2,56.3,48.6,53,0.047
10/22/2019,64.5,59.9,52,63,0.398
10/23/2019,64.5,58.2,50.2,53,0.024
10/24/2019,66.7,53.8,44.2,0,0
10/25/2019,66.7,56,47.3,3,0
10/26/2019,64.3,56.5,50.1,51,0.067
10/27/2019,71.2,63.4,54.2,63,0.843
10/28/2019,67.4,58.8,50.4,3,0
10/29/2019,63.5,57.8,51.2,51,0.043
10/30/2019,64.8,60.6,56.2,53,0.098
10/31/2019,73.3,67.8,60.7,63,0.772
11/1/2019,69.2,49,41.6,63,0.445
11/2/2019,52.7,43.6,35.8,0,0
11/3/2019,51.8,43.8,37.9,1,0
11/4/2019,57.8,45.9,36.4,1,0
11/5/2019,61.1,51.5,43.5,3,0
11/6/2019,54.9,47.5,39.9,3,0
11/7/2019,58.3,49.7,42,61,0.146
11/8/2019,42.7,37,29.8,3,0
11/9/2019,41.5,31.8,23.3,3,0
11/10/2019,53.2,41.4,30.3,3,0
11/11/2019,62.6,49.8,39.2,3,0
11/12/2019,55.9,42.7,27.6,73,0.24
11/13/2019,35.4,27.9,22.8,3,0
11/14/2019,43.1,32,23.4,3,0
11/15/2019,52.2,38.9,28.8,3,0
11/16/2019,40.6,36.6,32,2,0
11/17/2019,41.4,35.4,29.7,3,0
11/18/2019,41.5,39.3,37.4,51,0.047
11/19/2019,54.3,43.6,34.2,3,0
11/20/2019,52,43.5,38.4,3,0
11/21/2019,53.4,45.6,37.8,3,0
11/22/2019,52.9,46.7,38.6,55,0.138
11/23/2019,45.5,38.3,30.6,55,0.114
11/24/2019,44.7,41.3,38.5,63,0.823
11/25/2019,53,42,32,3,0
11/26/2019,58.9,44.7,34.5,3,0
11/27/2019,57.5,49.2,37.9,51,0.028
11/28/2019,52.5,45.1,37.4,3,0
11/29/2019,43.5,36,30.2,3,0
11/30/2019,43.5,34.9,27.9,3,0
12/1/2019,44.7,36.9,31.3,63,0.886
12/2/2019,37.9,36.4,35,73,0.165
12/3/2019,42,36,32.2,71,0.024
12/4/2019,45,37.8,32.8,53,0.055
12/5/2019,42.7,38.1,33.1,71,0.008
12/6/2019,50.8,39.9,27.6,53,0.024
12/7/2019,42.8,34.8,28.9,3,0
12/8/2019,43.8,32.6,24.4,3,0
12/9/2019,51.4,46.7,40.9,61,0.661
12/10/2019,55.5,52.7,42.5,55,0.39
12/11/2019,41.6,36.4,31.5,73,0.24
12/12/2019,36.6,30,25.2,3,0
12/13/2019,48.4,40.3,25.9,61,0.52
12/14/2019,54.4,49.6,42.9,63,0.449
12/15/2019,48.4,42.1,34.6,51,0.008
12/16/2019,36.3,35.3,34.2,71,0.22
12/17/2019,39.6,37.1,34.6,63,1.055
12/18/2019,39.1,33.4,25.2,71,0.008
12/19/2019,29.8,23.2,18.5,3,0
12/20/2019,37,26.9,21.9,3,0
12/21/2019,37,27.8,22.5,3,0
12/22/2019,48.6,32,23.2,3,0
12/23/2019,52.3,36.7,27.1,3,0
12/24/2019,49.7,39.6,33.9,3,0
12/25/2019,46.5,34.4,24.8,3,0
12/26/2019,48,37,27.1,3,0
12/27/2019,50.1,45,39.6,51,0.008
12/28/2019,52.4,43.8,37.8,3,0
12/29/2019,44.9,39.5,31.5,63,0.354
12/30/2019,47.7,44.3,39,61,0.646
12/31/2019,46.8,40.7,37.4,3,0
