business_id,date,daily_review_count
-ATiAtTikuGuqvaW2O6tNA,2013-01-05,1
-ATiAtTikuGuqvaW2O6tNA,2013-01-11,2
-ATiAtTikuGuqvaW2O6tNA,2013-01-14,1
-ATiAtTikuGuqvaW2O6tNA,2013-02-10,1
-ATiAtTikuGuqvaW2O6tNA,2013-03-04,1
-ATiAtTikuGuqvaW2O6tNA,2013-03-13,1
-ATiAtTikuGuqvaW2O6tNA,2013-03-21,1
-ATiAtTikuGuqvaW2O6tNA,2013-03-26,1
-ATiAtTikuGuqvaW2O6tNA,2013-03-28,1
-ATiAtTikuGuqvaW2O6tNA,2013-04-08,1
-ATiAtTikuGuqvaW2O6tNA,2013-04-17,1
-ATiAtTikuGuqvaW2O6tNA,2013-04-28,1
-ATiAtTikuGuqvaW2O6tNA,2013-05-07,1
-ATiAtTikuGuqvaW2O6tNA,2013-05-09,1
-ATiAtTikuGuqvaW2O6tNA,2013-05-18,1
-ATiAtTikuGuqvaW2O6tNA,2013-05-20,1
-ATiAtTikuGuqvaW2O6tNA,2013-05-22,1
-ATiAtTikuGuqvaW2O6tNA,2013-05-23,1
-ATiAtTikuGuqvaW2O6tNA,2013-06-02,2
-ATiAtTikuGuqvaW2O6tNA,2013-06-07,1
-ATiAtTikuGuqvaW2O6tNA,2013-06-08,1
-ATiAtTikuGuqvaW2O6tNA,2013-06-18,1
-ATiAtTikuGuqvaW2O6tNA,2013-07-03,1
-ATiAtTikuGuqvaW2O6tNA,2013-07-19,1
-ATiAtTikuGuqvaW2O6tNA,2013-07-28,1
-ATiAtTikuGuqvaW2O6tNA,2013-08-02,1
-ATiAtTikuGuqvaW2O6tNA,2013-08-08,1
-ATiAtTikuGuqvaW2O6tNA,2013-08-18,1
-ATiAtTikuGuqvaW2O6tNA,2013-08-24,1
-ATiAtTikuGuqvaW2O6tNA,2013-08-25,1
-ATiAtTikuGuqvaW2O6tNA,2013-08-30,1
-ATiAtTikuGuqvaW2O6tNA,2013-09-02,1
-ATiAtTikuGuqvaW2O6tNA,2013-09-03,1
-ATiAtTikuGuqvaW2O6tNA,2013-09-09,1
-ATiAtTikuGuqvaW2O6tNA,2013-09-25,1
-ATiAtTikuGuqvaW2O6tNA,2013-09-26,1
-ATiAtTikuGuqvaW2O6tNA,2013-09-30,1
-ATiAtTikuGuqvaW2O6tNA,2013-10-01,1
-ATiAtTikuGuqvaW2O6tNA,2013-10-07,1
-ATiAtTikuGuqvaW2O6tNA,2013-10-20,1
-ATiAtTikuGuqvaW2O6tNA,2013-10-24,1
-ATiAtTikuGuqvaW2O6tNA,2013-10-31,1
-ATiAtTikuGuqvaW2O6tNA,2013-11-08,1
-ATiAtTikuGuqvaW2O6tNA,2013-11-09,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-03,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-05,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-11,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-15,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-16,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-26,1
-ATiAtTikuGuqvaW2O6tNA,2013-12-29,1
-ATiAtTikuGuqvaW2O6tNA,2014-01-13,1
-ATiAtTikuGuqvaW2O6tNA,2014-02-15,1
-ATiAtTikuGuqvaW2O6tNA,2014-02-18,1
-ATiAtTikuGuqvaW2O6tNA,2014-03-04,2
-ATiAtTikuGuqvaW2O6tNA,2014-03-06,1
