review_id,business_id,user_id,stars,date,useful,funny,cool
AqPFMleE6RsU23_auESxiA,kxX2SOes4o-D3ZQBkiMRfA,_7bHUi9Uuf5__HHc_Q8guQ,5,2015-01-04,1,0,1
JrIxlS1TzJ-iCu79ul40cQ,04UD14gamNjLY0IDYVhHJg,eUta8W_HdHMXPzLBBZhL1A,1,2015-09-23,1,2,1
oyaMhzBSwfGgemSGuZCdwQ,YtSqYv1Q_pOltsVPSx54SA,Dd1jQj7S-BFGqRbApFzCFw,5,2013-06-24,0,0,0
Xs8Z8lmKkosqW5mw_sVAoA,eFvzHawVJofxSnD7TgbZtg,IQsF3Rc6IgCzjVV9DE8KXg,5,2014-11-12,0,0,0
JBWZmBy69VMggxj3eYn17Q,kq5Ghhh14r-eCxlVmlyd8w,aFa96pz67TwOFu4Weq5Agg,5,2018-08-23,0,0,0
YcLXh-3UC9y6YFAI9xxzPQ,oBhJuukGRqPVvYBfTkhuZA,G0DHgkSsDozqUPWtlxVEMw,4,2015-03-05,0,0,0
r2IBPY_E8AE5_GpsqlONyg,VJEzpfLs_Jnzgqh5A_FVTg,IKbjLnfBQtEyVzEu8CuOLg,4,2014-04-01,0,0,0
mCVyppNwK2qPOJHXgs0p2Q,NQSnr4RPUScss607oxOaqw,mNITUu6B2wUKBOa4NmUHJg,5,2016-05-19,0,0,0
dzNxNW9XpJiECE-bKATezw,6LCZLGa09Qifn6rG7-DNrg,NUtIAX-ygn474tDg5nmesg,4,2015-02-16,0,0,1
DWbmJF84jRrGaJRmlSSnYQ,SIoCIxjn4jLt2O-4DajWJw,aWlojpSpzEICTza3RgGJgg,4,2015-11-18,0,0,0
4KpIldEM-tdnrJLqYzRfZQ,HTqXI5S2XcSlh_ylx9sE6g,Z5j9Xw_G0c7M2b1-iS67wg,5,2018-03-23,1,1,1
RGV9GWhAAfAAlYyd4vho7g,3ZynJ94VpIdDlaArmEp2Rg,Zs8Zk3sgh5JxRmoZW4PJcg,3,2013-10-03,0,0,0
7rCsR3SARVF3vXNiw_Csgg,9gObo5ltOMo6UgsaXaHPWA,mmdf_Fi-Hh_3uZN5zE164A,5,2016-09-06,0,0,0
gImS1dtA_TixEouDfp2o4g,D5V0Fawd6ODVgqCY8xngsw,xE7AXFF9wVaN6id6OCtH3Q,4,2017-01-14,1,0,2
8GZbCEMxrbqmRinDbfHWVQ,FHNIvNgh3fS7VZQq2Y3dsA,OkjeFppodgJP_CvB84cJYw,3,2014-07-13,1,0,1
L0E_Ld__jIATsQ1vA7ZGZw,D4DZztR7vkbiED6txGUYFg,Cvi8nZTwDVaQkqmmgQwQMw,4,2013-06-24,0,0,1
HME_ksGph3se7Aze5hxa-Q,kxX2SOes4o-D3ZQBkiMRfA,kSMOJwJXuEUqzfmuFncK4A,2,2014-07-13,0,0,1
-xM8cH4AeVzgTJBQHlxfUQ,EtKSTHV5Qx_Q7Aur9o4kQQ,ZaMB7VbOwaARjxdhXjODxA,5,2014-11-30,0,0,0
pBN8yjaejKMzIWQs1zIyzQ,QvjY9esYNRMe_5kvT6TC5g,ZPYPQvM1DMZB39oQ9WlDgw,5,2015-12-20,3,0,0
IJCYT9dRjuBvY-BJufFnNg,roc-xyyzN5b_nImb0NdRLQ,hWDybu_KvYLSdEFzGrniTw,4,2015-01-03,6,5,5
dUkUiVjwb9xCF1kMqjT6nA,FnEkr6LzjuGsg93Z7fkl7Q,EDPlya2Sfu0teqreA3rlZw,2,2017-12-29,0,0,0
g7MfpJGKQUGowCvIcrB91A,V6Om7YZhlRQRU7WfuxHq8Q,ci7Q6NvXQ8UZrBHusVX18g,4,2017-07-08,1,0,0
i8nVcu3u2-e0szyCS7PY1g,7sKfrJmjG6unAQeWdQUe2w,tGMnQ1EnvZqpn_jAuN8VsA,4,2015-10-23,0,0,0
XDvCtch6U43HUNuMLHSxHA,5ezrDoezdUlJpUa5Jg6dUQ,AGyh5jnM0zrIElY7aZQafQ,5,2017-06-06,0,0,0
YmDYCDkRl3cof1yGdllW2Q,TttFjRQ-8Iz8by4hsD7iOQ,9oHOoqk-HlwDS2DlHLi_0g,5,2017-11-06,0,0,0
AdGd-xcpJF4C-zYduRM03Q,bUnqKEP7h48ePxHMXV0fNw,2XBcnIVhp_pEeer-asuxHA,3,2016-04-23,0,0,0
gbK7d1rp0tLKPS8oMpKFNg,7sKfrJmjG6unAQeWdQUe2w,oMNtNOXYFN0qdSCSfOfTOg,5,2016-07-14,0,0,0
UqZyX64mgw1vJ1ffnxODjA,EtKSTHV5Qx_Q7Aur9o4kQQ,cARxOd_5yKCgsCbUZ5ED4Q,4,2014-10-11,0,0,0
CdasgDuJmAJYRb50sgzQEQ,68ThEdiK0eWCEgGEmV9Tng,2DhNGmmyDmnZdZps49U9VQ,4,2016-01-30,0,0,0
lLc72XgWAGoWXVI3iGydRw,tQYOAfl33tmP4oWpfyRr6g,vr-Rw3nMKIgGrVNT6A7p9g,5,2014-10-27,0,0,0
5wPq_FqKNx4NSdjW4MDCRQ,y44MbCvvtmg1FpkNGSWisw,jHcTMCmyetM7HSC7weQTlg,2,2015-08-30,2,1,0
j4zxVT-GhVJ3a1YEskkSww,9PCPV34KV1B_E3v1IUi4tQ,8EMU7d4pCkdqUnvlIW40CA,4,2015-12-05,2,0,0
tfucaiy6lG5UbvbmTD4STg,MMRRS6YhVRx_iN5-JhMRYg,wABHp4fGUC-0acRKhmQO2A,5,2016-03-07,0,0,0
YpDx1X1OvnwUgdkHeZNvWw,J-ciDDEdIHMcChGIyKZnOg,OfhZlqYMrCVAhM-bt_cQug,4,2017-02-09,0,0,0
MxQpzn4DLrQ6XuhEHkVvIw,QWqKTWQ2OiDgo3dzNkpung,QuZKJnltihmZ8jhwfxPeJA,5,2014-05-07,1,0,0
As1_aGyTE-Sh3jGwh3vG0Q,DsKzHnkLKnxZTVsFpts4oA,QvIZleI1KG46yFMRSWrYcQ,5,2016-07-03,0,0,0
FTax2GLIJRbHbEBUE82_pA,9gObo5ltOMo6UgsaXaHPWA,JggphOM7FIbvUyPcsfcNTw,5,2015-09-24,5,2,2
nDH6ctdQskr7_V_ot3_mVw,mUIBtlWNPD7sz3rGGWQ1RA,mzXDuhZBPdHfMIk1YXP0mQ,5,2013-08-03,3,0,1
82lJQteTxdxQVXfm-RU_tw,9gObo5ltOMo6UgsaXaHPWA,av5_rihz1f5DLEIt5NrtNA,2,2013-02-21,2,0,0
S79tU1cnlxnYhm8zfb8LyA,r2cjbHG_WGWUkaPCbLpo-A,ybnpLuqHe1RCKfzqAGy8gg,1,2015-08-06,0,0,0
S1sW-mCzdO1Qhb4Fq7ZKoA,AWJyivVwe3t9BO-k8D0ynQ,Qg8sepNIyYyicni1a7jnaA,3,2017-06-17,0,0,0
M4zS53PfEzODW1P2U9JUig,cXSyVvOr9YRN9diDkaWs0Q,DEiAhP-xb4i-71foPKSqxQ,5,2015-08-06,0,0,0
XZl9M7HrwqqQUEOUu4azkA,DRnvSL_I8MLuTLhl6O4JBQ,16yfdXvoj6ra0hqFjLu2cQ,5,2016-02-23,3,0,0
bcNhedsG9dRWiIeV_-cGUQ,-ATiAtTikuGuqvaW2O6tNA,7HOTNEzVwtJQK6iwC6XVJA,3,2015-07-03,0,0,0
zKZAppIn3yZVp7sTw-8ZLw,Gw7UW0E2BguzL9suQnwDeg,au30JemWvCjjTp5vWdOLow,5,2017-08-28,2,0,1
wR6Bl-Vywqd56UaogCcWNg,rQW9iupvhk6ScPn2VPNLVQ,_mLEJyBITb35hF-av1Q09Q,5,2016-10-26,2,0,2
yFV9UnuTR3wqCVRwkeYGxA,C_EtrXTygRX5RTUOKtO6Dg,tgZ0r69ap3_-sNBgLPZsPw,1,2016-08-25,0,0,0
tGzobhc7MyMSej6gVdv3Pw,1NCUTTp6rIyXpwUDVv9qOA,gSEhdaQNcewg-ob6xSgleQ,2,2016-06-22,0,0,0
t4vzUBVfAPfg7i1EB9Y_6Q,GUMVStVaJfWmCIpQA4TtHg,vFd8aBLg1kFcd0kCkoi-xw,4,2018-03-15,0,0,2
